9.064675569534301758e-01 3.069742321968078613e-01 9.796675443649291992e-01 6.232123821973800659e-02 1.061595010757446289e+01
9.657369852066040039e-01 1.126141101121902466e-01 9.852765798568725586e-01 4.576095193624496460e-02 2.829665660858154297e+00
9.732151031494140625e-01 8.871807157993316650e-02 9.880308508872985840e-01 3.998686373233795166e-02 1.578754901885986328e+00
9.772628545761108398e-01 7.446388155221939087e-02 9.875801801681518555e-01 4.174406826496124268e-02 2.836656570434570312e+00
9.791573286056518555e-01 6.727698445320129395e-02 9.880309104919433594e-01 4.050282388925552368e-02 1.589291810989379883e+00
9.811519384384155273e-01 6.204887852072715759e-02 9.884816408157348633e-01 3.741415590047836304e-02 2.765367746353149414e+00
9.818278551101684570e-01 5.938729643821716309e-02 9.879808425903320312e-01 4.198133945465087891e-02 1.554566860198974609e+00
9.834635853767395020e-01 5.444874614477157593e-02 9.888823032379150391e-01 3.832999989390373230e-02 1.560887575149536133e+00
9.836724996566772461e-01 5.289665609598159790e-02 9.894832372665405273e-01 3.945973888039588928e-02 1.568097352981567383e+00
9.845403432846069336e-01 4.898504912853240967e-02 9.893330335617065430e-01 3.521684929728507996e-02 1.676128864288330078e+00
9.852999448776245117e-01 4.741477966308593750e-02 9.903846979141235352e-01 3.873496502637863159e-02 1.539255619049072266e+00
9.851162433624267578e-01 5.024842917919158936e-02 9.902343750000000000e-01 3.954214975237846375e-02 1.635692119598388672e+00
9.866436719894409180e-01 4.386023059487342834e-02 9.886319041252136230e-01 4.180673509836196899e-02 2.873632669448852539e+00
9.860761165618896484e-01 4.593905434012413025e-02 9.901343584060668945e-01 4.638342559337615967e-02 2.883783102035522461e+00
9.869692325592041016e-01 4.270730540156364441e-02 9.904848337173461914e-01 4.763959348201751709e-02 2.844972372055053711e+00
9.873200654983520508e-01 4.274341464042663574e-02 9.908353090286254883e-01 4.216469824314117432e-02 2.790433645248413086e+00
